"genes" "logFC" "logCPM" "F" "PValue" "FDR" "status"
"vmacro21728" 0.271053683244446 5.31963275111934 5.11350265012658 0.0373303036350719 0.105549953206616 "No significant DEG"
"vmacro21729" 0.43642961793357 2.54317903484552 2.92298063974436 0.105758113466815 0.223750667078471 "No significant DEG"
"vmacro21730" 0.425543207959212 4.32421042189083 7.61927569017233 0.0134954911916185 0.0503868652339249 "No significant DEG"
"vmacro21731" 0.0685473260190083 6.36488838885331 0.437400425621292 0.517361858708881 0.667253377611353 "No significant DEG"
"vmacro21732" 0.0938003401310093 7.31234484953158 0.409617609215396 0.530808986432941 0.678540505040099 "No significant DEG"
"vmacro21733" -0.256452776003089 6.37477947997815 1.48670565587564 0.239596690190366 0.397176228850372 "No significant DEG"
"vmacro21734" -0.216973545270885 7.58620311410543 2.80235787101395 0.112667865857615 0.233958147314827 "No significant DEG"
"vmacro21735" 0.196236938099328 6.85693270895055 2.30846553036419 0.147294177384215 0.282318773473061 "No significant DEG"
"vmacro21736" 0.126872147972256 5.02485463298525 0.317140763962306 0.580781216094915 0.718956564151503 "No significant DEG"
"vmacro21737" -0.0983102788214403 3.4436826645458 0.0606121146809598 0.808518380443092 0.88395200169852 "No significant DEG"
"vmacro21738" 1.34205407966254 0.190356703618956 5.53389463136114 0.0311355764295416 0.0923512860198268 "No significant DEG"
"vmacro21739" 0.340263549872525 7.01620166498122 3.57385717497053 0.0760997026841545 0.176101155974797 "No significant DEG"
"vmacro21740" -1.919144511963 2.8587752409287 18.5576091652605 0.000490345721755689 0.00429509388650958 "Significant DEG"
"vmacro21741" 0.500222883745551 7.08927688179868 18.6817666602095 0.000475504351168311 0.00419724456202477 "No significant DEG"
"vmacro21742" 0.658441105699359 3.36357717613502 14.3409290120506 0.00150243275309911 0.0100522289601422 "No significant DEG"
"vmacro21743" -0.253470276733914 7.03835752089048 3.29941368287513 0.0872179859390553 0.194400920984749 "No significant DEG"
"vmacro21744" -0.158749494478927 8.7407112372323 2.12701143173246 0.1631926664718 0.304142658812856 "No significant DEG"
"vmacro21745" -0.319077977659251 4.09707678026823 3.77241541931767 0.0690877526678381 0.164484383691839 "No significant DEG"
"vmacro21746" -1.96352646567784 6.36806332112284 119.154374804852 4.86821762452639e-09 1.36560663511531e-06 "Significant DEG"
"vmacro21748" -0.173659101451057 7.12871940503668 1.00028549698462 0.33145130418932 0.495795133693014 "No significant DEG"
"vmacro21749" -0.0403514351866053 5.36279966371903 0.0369084688913962 0.849958019412113 0.912274882978058 "No significant DEG"
"vmacro21750" -0.69952515423324 -0.609575179834688 0.895267330948772 0.357485441122715 0.521054083396943 "No significant DEG"
"vmacro21751" -1.38987181837282 0.959660822407855 6.86425222833417 0.0180621192783144 0.0622241150864812 "No significant DEG"
"vmacro21752" -0.211435971801112 -0.72489292185492 0.064873811097325 0.802048487377838 0.880471621589104 "No significant DEG"
"vmacro21753" -0.0350975144620298 -1.20985124239026 0.0019041857192564 0.96570901462509 0.980356543585609 "No significant DEG"
"vmacro21755" -0.0834161753585317 4.89593439374019 0.291141679505688 0.596580299904448 0.731340598107428 "No significant DEG"
"vmacro21756" -0.0249824443023573 6.89144352164419 0.0290350437805262 0.86673645085473 0.923166999835501 "No significant DEG"
"vmacro21757" 0.180174323895988 5.39813985257995 1.29831711180512 0.270531108632092 0.431289669632859 "No significant DEG"
"vmacro21758" 0.58802193950348 1.0232280021029 1.61199692312781 0.221543223005947 0.37614036304748 "No significant DEG"
"vmacro21759" 0.167889001404502 3.46784300731699 0.743483271071529 0.400706672695867 0.563097081307917 "No significant DEG"
"vmacro21760" 0.31254137426161 4.40641048741158 5.97907553655518 0.0258252858205473 0.0806982358499281 "No significant DEG"
"vmacro21761" -0.148229376725271 4.05782680669275 0.40558352613534 0.532815333807568 0.6800115410397 "No significant DEG"
"vmacro21762" -0.651481840829008 7.47034233473735 17.5272498619664 0.000635717756636341 0.00525367332188108 "No significant DEG"
"vmacro21763" 0.413637781051375 4.89838354201024 6.82382155362641 0.0183524061386923 0.0629626163840928 "No significant DEG"
"vmacro21764" -0.420694352608452 4.68959326737485 8.05391628897162 0.0114694810126555 0.0447220667040891 "No significant DEG"
"vmacro21765" 0.770867389790721 4.4500250858286 16.8562323458628 0.000756289651560742 0.00598598552013326 "No significant DEG"
"vmacro21766" 0.227460416187611 5.44133899161884 3.2583072698148 0.0890435899626355 0.197258875668278 "No significant DEG"
"vmacro21767" 0.0636676679883996 4.14530688188742 0.232160089085497 0.636152981985952 0.761293396808098 "No significant DEG"
"vmacro21768" -0.564845022326059 7.66757345602819 13.5776167520425 0.00187303232507875 0.0119110704069957 "No significant DEG"
"vmacro21769" 0.0291615919698422 6.21594167635533 0.0326576623838761 0.858757190709018 0.918102982444487 "No significant DEG"
"vmacro21770" 0.287267171412592 3.62646535270977 3.30627061656499 0.0869177802546564 0.19393574199995 "No significant DEG"
"vmacro21771" 0.801440530413041 0.432962544126544 2.30685608657733 0.147426624041694 0.282470253306549 "No significant DEG"
"vmacro21774" -2.76489368852312 1.29388994428242 28.7293576321594 5.43637556782683e-05 0.000847905674213383 "Significant DEG"
"vmacro21775" -0.0735847322362588 6.63107703236682 0.101103584325506 0.754433502571444 0.84711673307925 "No significant DEG"
"vmacro21776" -0.295369546740724 4.96770754747284 3.25726311593781 0.0890905477171629 0.197292960693862 "No significant DEG"
"vmacro21777" -0.0122286815874464 4.22879833028614 0.00449399129094219 0.947344601076887 0.970181373646602 "No significant DEG"
"vmacro21778" -0.142650178745699 5.22814054096438 0.558549853518806 0.46519341499906 0.622324928159237 "No significant DEG"
"vmacro21779" -0.333815172532085 7.43383894254246 8.54715186222473 0.00957647656561756 0.0392368988671091 "No significant DEG"
"vmacro21780" -0.830124055334464 4.48326223031778 32.3614774834909 2.80385423397725e-05 0.000510826356381243 "No significant DEG"
"vmacro21781" -0.163444229513869 7.81386460514503 1.31585004108069 0.267436951077313 0.42818195751215 "No significant DEG"
