"genes" "logFC" "logCPM" "F" "PValue" "FDR" "status"
"vmacro21728" 0.163387561681383 5.31963275111934 1.8497737991975 0.191809331898666 0.26646005432722 "No significant DEG"
"vmacro21729" -0.0294252620308184 2.54317903484552 0.0131226036159848 0.910158697839775 0.933502374518427 "No significant DEG"
"vmacro21730" -0.115756195984397 4.32421042189083 0.559791274589369 0.464705857908857 0.550668487527725 "No significant DEG"
"vmacro21731" 0.185307026797974 6.36488838885331 3.18287829688246 0.0925124856261784 0.144640293556783 "No significant DEG"
"vmacro21732" 0.173770923489221 7.31234484953158 1.40285562201639 0.252757326034145 0.334885461839363 "No significant DEG"
"vmacro21733" 0.831359332911307 6.37477947997815 15.4580158361624 0.0010996506595501 0.00330849153484514 "No significant DEG"
"vmacro21734" 0.439125181195159 7.58620311410543 11.425331067924 0.00361240520467147 0.00914002245378807 "No significant DEG"
"vmacro21735" -0.355115083708138 6.85693270895055 7.497287154294 0.0141351373398812 0.0292882625199037 "No significant DEG"
"vmacro21736" -0.841429704183216 5.02485463298525 13.1988573900364 0.00209439409827896 0.00574911029280057 "No significant DEG"
"vmacro21737" -1.4634479054089 3.4436826645458 11.9560576447435 0.00305647202177291 0.00792580258500791 "Significant DEG"
"vmacro21738" -3.27677346480262 0.190356703618956 22.1209684101311 0.00021187193261526 0.000833977943589781 "Significant DEG"
"vmacro21739" 0.513275693487078 7.01620166498122 8.12527568654051 0.0111710037760661 0.0239962721878897 "No significant DEG"
"vmacro21740" 2.76989025470167 2.8587752409287 37.86742325935 1.12563686467709e-05 7.21489354627539e-05 "Significant DEG"
"vmacro21741" -0.552161606335293 7.08927688179868 22.6243405222957 0.000189441854237862 0.000760489911837632 "No significant DEG"
"vmacro21742" -0.990078283356802 3.36357717613502 30.6268104703256 3.82143784296561e-05 0.000198837771016282 "No significant DEG"
"vmacro21743" -0.215277563260786 7.03835752089048 2.362104403492 0.142961987280045 0.208470293354244 "No significant DEG"
"vmacro21744" 0.465536154877023 8.7407112372323 18.2113252777594 0.000534563310491536 0.00180250930663356 "No significant DEG"
"vmacro21745" 0.279559619894706 4.09707678026823 2.83743742745938 0.11060411542404 0.168189358204018 "No significant DEG"
"vmacro21746" 2.59566302185817 6.36806332112284 199.718627201008 9.59904735750888e-11 1.56672153309045e-08 "Significant DEG"
"vmacro21748" -0.212369563126994 7.12871940503668 1.48355348036764 0.240075036347991 0.321003176667456 "No significant DEG"
"vmacro21749" 0.619242323198006 5.36279966371903 8.6347574427946 0.00927870029165594 0.0204803527034641 "No significant DEG"
"vmacro21750" 1.88820159372042 -0.609575179834688 6.81587434842585 0.0184100891688218 0.0367066427192721 "Significant DEG"
"vmacro21751" 1.67750165395721 0.959660822407855 9.7374081048902 0.00630293933421567 0.0146835085246903 "Significant DEG"
"vmacro21752" 0.447178155145942 -0.72489292185492 0.270266814424199 0.609945615031099 0.686332739896072 "No significant DEG"
"vmacro21753" -0.630343795212953 -1.20985124239026 0.488023935185137 0.49438230429911 0.579167685635726 "No significant DEG"
"vmacro21755" 0.0495832386368473 4.89593439374019 0.101000983278338 0.754553767356782 0.810742585046506 "No significant DEG"
"vmacro21756" -0.335990261438709 6.89144352164419 5.19769832633129 0.0359837227729647 0.0648700039593896 "No significant DEG"
"vmacro21757" -0.123662248056009 5.39813985257995 0.605624919293996 0.44727863212721 0.533774582560242 "No significant DEG"
"vmacro21758" -0.994626684060169 1.0232280021029 4.24162723558765 0.0553137292131487 0.0936875674605587 "No significant DEG"
"vmacro21759" -0.16915204390646 3.46784300731699 0.729903759984008 0.404950904063402 0.492598590332849 "No significant DEG"
"vmacro21760" 0.0596123988470732 4.40641048741158 0.216182437135756 0.647942797541145 0.719843863984215 "No significant DEG"
"vmacro21761" 0.553301966995619 4.05782680669275 5.59237985909697 0.0303710713439379 0.0562236205246133 "No significant DEG"
"vmacro21762" 1.19471710258081 7.47034233473735 57.8484567611639 7.85488618150215e-07 8.45552787314636e-06 "Significant DEG"
"vmacro21763" -0.830304084841049 4.89838354201024 26.3063244729429 8.72535416694525e-05 0.000396559758719277 "No significant DEG"
"vmacro21764" 0.143247866526128 4.68959326737485 0.908119618148334 0.354144960662698 0.442217538926484 "No significant DEG"
"vmacro21765" -0.679487483675428 4.4500250858286 12.8222097008612 0.00234415895575584 0.00630852597080174 "No significant DEG"
"vmacro21766" 0.0668422437076373 5.44133899161884 0.279703110246679 0.603824239556099 0.680729749972376 "No significant DEG"
"vmacro21767" 0.182404423537298 4.14530688188742 1.87595928036755 0.188851578408069 0.262719106355476 "No significant DEG"
