"genes" "logFC" "logCPM" "F" "PValue" "FDR" "status"
"vmacro21728" -0.301451911952117 5.31963275111934 6.1353054371227 0.0242135963195811 0.0780454001854308 "No significant DEG"
"vmacro21729" 0.32420433837445 2.54317903484552 1.55201505731572 0.229958391536083 0.387824614032298 "No significant DEG"
"vmacro21730" -0.0953814647391739 4.32421042189083 0.368780136058778 0.551802473349687 0.693847196482169 "No significant DEG"
"vmacro21731" -0.000996599787305038 6.36488838885331 9.16388968781468e-05 0.992475039360497 0.995449646429776 "No significant DEG"
"vmacro21732" 0.0756392155303467 7.31234484953158 0.26526308826261 0.613247330683278 0.743862073576126 "No significant DEG"
"vmacro21733" 0.202813524246867 6.37477947997815 0.926617639603758 0.349415675883118 0.516589447004212 "No significant DEG"
"vmacro21734" 0.200469069195786 7.58620311410543 2.38907703446693 0.140842257145885 0.27591312057695 "No significant DEG"
"vmacro21735" 0.107553700680603 6.85693270895055 0.689799853443221 0.417897232837664 0.580581916706369 "No significant DEG"
"vmacro21736" -0.514459544644363 5.02485463298525 5.02865800150675 0.038746298939003 0.110146893034498 "No significant DEG"
"vmacro21737" -1.76157872371516 3.4436826645458 17.0829372911418 0.000712893803438579 0.00561223660775522 "Significant DEG"
"vmacro21738" -1.75261999911112 0.190356703618956 6.41314127261641 0.0216231370956868 0.0716700851607689 "No significant DEG"
"vmacro21739" -0.0207610553049583 7.01620166498122 0.0132264540905783 0.909805552921546 0.948231937601273 "No significant DEG"
"vmacro21740" 0.88516985036857 2.8587752409287 4.61071283837725 0.0466932598859966 0.12565941483146 "No significant DEG"
"vmacro21741" -0.24765914986282 7.08927688179868 4.55733478735968 0.0478380666268446 0.127802677998188 "No significant DEG"
"vmacro21742" -0.908665695497064 3.36357717613502 24.5281808410617 0.000125727871169606 0.00154152502060343 "No significant DEG"
"vmacro21743" -0.111903747726984 7.03835752089048 0.640981120954956 0.434549195364249 0.595347690984202 "No significant DEG"
"vmacro21744" 0.333400503657332 8.7407112372323 9.3607101811 0.00717732160244819 0.0314366352905437 "No significant DEG"
"vmacro21745" -0.110483172196615 4.09707678026823 0.442312496452287 0.51504899852684 0.664315345655519 "No significant DEG"
