vmacro00001	sp|O48920|ARF_VIGUN
vmacro00003	sp|Q9FFN2|GLYT3_ARATH
vmacro00004	sp|A0A4D6Q5I0|MYB4_CROXC
vmacro00005	sp|Q9LU44|SF1_ARATH
vmacro00006	sp|Q9ZQP3|ERF38_ARATH
vmacro00007	sp|O65202|ACOX1_ARATH
vmacro00008	sp|Q1JPM5|OFT30_ARATH
vmacro00009	sp|Q1JPM5|OFT30_ARATH
vmacro00010	sp|Q9LN49|KCS4_ARATH
vmacro00011	sp|Q1JPM5|OFT30_ARATH
vmacro00012	sp|Q7XC57|MYBS3_ORYSJ
vmacro00013	sp|P46601|HAT2_ARATH
vmacro00015	sp|Q9LVS3|PP422_ARATH
vmacro00016	sp|Q9ZQP1|TPMT1_ARATH
vmacro00017	sp|Q20390|PPT1_CAEEL
vmacro00018	sp|P0CH01|AT21A_ARATH
vmacro00019	sp|Q93VG8|PPDEX_ARATH
vmacro00020	sp|Q8L7W2|NUDT8_ARATH
vmacro00021	sp|O80341|EF102_ARATH
vmacro00022	sp|O80341|EF102_ARATH
vmacro00023	sp|Q40479|ERF2_TOBAC
vmacro00024	sp|Q8GWE1|UCH3_ARATH
vmacro00024	sp|Q8GWE1|UCH3_ARATH
vmacro00025	sp|Q8GWE1|UCH3_ARATH
vmacro00026	sp|Q0P5W1|VPS8_MOUSE
vmacro00027	sp|Q0P5W1|VPS8_MOUSE
vmacro00029	sp|Q8N5I4|DHRSX_HUMAN
vmacro00030	sp|F4JML5|ECH2M_ARATH
vmacro00031	sp|F4IXE7|IDM1_ARATH
vmacro00032	sp|F4IXE7|IDM1_ARATH
vmacro00033	sp|O23522|PLA14_ARATH
vmacro00034	sp|Q9SQ56|RGGA_TOBAC
vmacro00035	sp|Q9M4P3|PP316_ARATH
vmacro00036	sp|Q9M4P3|PP316_ARATH
vmacro00037	sp|Q05737|YPTM2_MAIZE
vmacro00039	sp|Q9FLC2|MO3_ARATH
vmacro00040	sp|O81816|MO2_ARATH
vmacro00040	sp|O81816|MO2_ARATH
vmacro00042	sp|O23596|GLPT4_ARATH
